YEAR,AVGRATING,AVGNUMBEROFREVIEWS
1979,4.5,0.000000
1984,4.4,8370.000000
1993,4.6,0.000000
1996,4.9,0.000000
1997,4.6,0.000000
1998,4.55,1677.500000
1999,4.8,0.000000
2000,4.55,216.000000
2001,4.8,6153.500000
2002,4.7,9467.000000
2003,4.7,7826.500000
2004,4.466666667,3029.666667
2005,4.55,2401.750000
2006,4.566666667,15886.833333
2007,4.484615385,6124.692308
2008,4.622222222,5811.111111
2009,4.561904762,1531.190476
2010,4.508333333,3220.500000
2011,4.496666667,1620.100000
2012,4.465625,1133.281250
2013,4.483783784,1213.405405
2014,4.523076923,1508.256410
2015,4.475,1665.166667
2016,4.571428571,1969.214286
2017,4.490909091,4508.036364
2018,4.496190476,1109.180952
2019,4.549411765,3167.623529
2020,4.534313725,1023.911765
2021,4.495138889,1370.402778
2022,4.499038462,708.168269
2023,4.468911917,524.743523
